	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	taxonomy
da129e6dbe2cada5d953124c73ca4303	18	19	25	19	15	23	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__
b621ca8c517b3aa3b3090afc36c159b0	0	0	307	242	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
dac38ee77486307b37351cde8342d0f6	0	11	26	16	18	5	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
63aed258c9ed64f19644fb39c0f41ee6	11	16	32	27	7	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
d5f994cc071e0cd620c68bc1183eba0b	35	0	0	10	6	24	55	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__lwoffii
62acc2b3601fbc883b1ab3241eb58530	8	8	0	6	0	5	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__Ellin6075;g__;s__
c0f14accea2860e1535e16b51d305ee2	0	0	0	0	0	43	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
e6b5eca3af8e7cd99451b7f0c87385bf	119	142	114	159	7	30	0	k__Bacteria;p__Bacteroidetes;c__Saprospirae;o__Saprospirales;f__Chitinophagaceae;g__Flavisolibacter;s__
a2a6e0588edc1fa03a537a9ba1b2e96d	18	483	120	56	12	0	0	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Nodosilinea;s__nodulosa
eaee6b9ea786817656377b72107f75f0	0	217	0	0	0	0	70	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
2189c37c8ad044445ceaa0dfea49b8a2	132	49	85	161	16	43	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__
0888722472e9ef0381ff9bc8bb26b0bb	6	9	11	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
1fca04a5bdf2e2903c2d9ccf9a539d7f	0	29	196	27	109	239	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae
b19959574e4737f98dc0e84be1fa49f2	0	0	0	0	0	24	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
0bc778e1792fd35c31bdc929e41c2935	0	0	0	0	0	0	524	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae;g__;s__
f8e27d110bb6ab6c00f13f40fa84c320	0	14	40	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
1c120dbcfc33f927183d73d0c0d61337	8	22	11	16	4	595	0	k__Bacteria;p__TM7;c__TM7_1;o__;f__;g__;s__
89ae57454ca97a1577f43832c28eb34f	36	31	104	161	11	90	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae
8d9b843d78578b1c3f2ac5cff5fac0fc	159	50	82	66	0	71	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
39f7b8201f8fcd23d8ceac39b83d1e59	0	0	31	18	7	80	17	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__
e8ddbd29cc0da904b9d054b011668033	0	22	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__Sporichthya;s__
6b482b0afc817e45368850c59b9236c0	19	0	0	21	0	505	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella;s__ginsengisoli
8f54f775927614aa7722037c55f7bb22	12	20	0	0	6	0	0	k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__aquatilis
a4180a455289d7df1033143577fa2f90	0	49	26	0	0	0	75	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__lwoffii
eb119f9af64b24a0580745a4475ec4ba	28	115	169	32	22	61	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
e862eca9402a001a56fff08335b03e88	0	0	19	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
a6ba078eaa6deda2d46e748cf4a1a3d3	18	0	24	0	0	12	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__
7732619aaa4217b9f9714d70c42fb4fb	14	0	20	17	0	530	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae;g__;s__
c188ac0cfb034f9834a729f36b2f1a26	0	0	0	0	14	0	475	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
b73f8d247c7f76f41e84b58af669fe33	10	11	7	412	1	2	0	k__Bacteria;p__Bacteroidetes;c__Saprospirae;o__Saprospirales;f__Chitinophagaceae;g__;s__
b2d6ce4d304f35ada88f65aa7575e59b	0	0	0	0	0	0	521	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
a6a2995512292269c6307686bb2008d2	0	13	21	14	0	19	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum
8c76e29cb162e0e78cc890aed9640366	0	13	0	13	0	6	0	k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__
98f1637cbe9aa15e7a65f8799a42607c	3	7	6	0	0	0	25	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Thermoactinomyces;s__sanguinis
00ac853383ab2eaec873b1e91a3fc155	10	14	8	31	4	15	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
